added,name,type,link,description,notes
7/16/2025,Los Angeles 2050,"Campaigns, Government, Non-Profit/NGO, Tech",https://www.la2050.org/jobs,"The LA2050 Jobs Board features open positions at nonprofit organizations, government agencies, and other social impact organizations in Los Angeles.",Los Angeles based jobs & opportunities
7/19/2025,Mandy Van Deven,Job Fairy,https://www.linkedin.com/in/mandyvandeven/,Mandy's practice is grounded in authentic relationships and strengthening ecosystems that create an enabling environment for systems transformation.,Development + Philanthropy roles
7/19/2025,Matt Lockshin,"Campaigns, Government, Media, Non-Profit/NGO, Tech",https://www.mattlockshin.com/job-board?ref=brightplus3.com,Find openings for digital roles in the progressive movement.,
7/19/2025,My Climate Journey,"Government, Non-Profit/NGO, Tech",https://www.mcj.vc/join,"Our members are tech and industry leaders who are building, working for, or advising on solutions to address the inevitable impacts of climate change. ",Climate change related
7/16/2025,National Women's Studies Association,Academic,https://www.nwsa.org/member-resources/job-board,"We partnered with WebScribble to expand and improve our reach when it comes to supporting the utility of feminist activism, education, and scholarship in the world of work. ",
7/16/2025,Never Search Alone,Job Fairy,https://www.phyl.org,Volunteer-led movement with a suite of free services for job seekers,
7/19/2025,Non-profit Hive,Non-Profit/NGO,https://www.thenonprofithive.com/?ref=brightplus3.com,"Find Connection, Support and Resources in The Nonprofit Hive.",
7/19/2025,Non-Profit Job Fairies,"Job Fairy, Non-Profit/NGO",https://www.linkedin.com/feed/update/urn:li:activity:7336755355781091328/,Here are 40 PEOPLE TO FOLLOW this summer who post regular job updates and career resources on LinkedIn.,A long list of people that post about jobs on LinkedIn in a bunch of areas
8/5/2025,Organization of American Historians,Academic,https://www.careers.oah.org/,"The Organization of American Historians is the largest professional society dedicated to United States history, guided by the principles of advocacy, professional integrity, and the advancement of scholarship.",
7/16/2025,Philanthropy News Digest,Non-Profit/NGO,https://www.philanthropynewsdigest.org/jobs,Non-profit job opportunities,
7/16/2025,Philosophy Jobs,Academic,https://www.philjobs.org/,Jobs for philosophers.,
8/4/2025,Political Job Hunt,Government,https://www.politicaljobhunt.com/,Build a Career in Politics and Make a Difference.,
8/4/2025,Progressive Data Jobs,"Non-Profit/NGO, Tech",https://www.progressivedatajobs.org/,"Progressive Data Jobs supports job-seekers in finding data, analytics, and tech jobs across the progressive and Democratic space.",
7/19/2025,Progressive Job Resources,Job Fairy,https://www.Progressive Job Resources,"There are a lot of these, and I can't really recommend one link over another. There end up being plenty of repeat postings among them, but there's enough variation that you just never know. Be sure to try all these linksunless a resource is explicitly narrow in focus, it's likely to have a diverse array of postings.",
7/16/2025,Protect Democracy,Non-Profit/NGO,https://www.protectdemocracy.org/jobs,"Protect Democracy is a cross-ideological non-profit group dedicated to defeating the authoritarian threat, building more resilient democratic institutions, and protecting our freedom and liberal democracy for future generations.",
7/19/2025,PS 134 Social Opportunity Jobs,Job Fairy,https://www.docs.google.com/spreadsheets/d/1iamdoXlw1LywXLkD1uW-vc-gLRrbfDJo8kL9Rkd1I1A/edit?ref=brightplus3.com&gid=0#gid=0,"Matchmaking agency for social change, social sector opportunities",
7/19/2025,Public Solutions Jobs,"Academic, Campaigns, Government, Media, Non-Profit/NGO, Tech",https://www.publicsolutionsjobs.org/?ref=brightplus3.com,"This website is a curated list of research, civic tech, data analytics, and policy positions at universities, nonprofits, and state and local governments. ",
7/19/2025,Radhika Bhatt,Job Fairy,https://www.linkedin.com/in/radhika-bhatt/,"Radhika Bhatt is a climate career coach, recruiter, and community builder with a career in technology, design, and social impact. ",Climate roles
7/19/2025,Renan Araujo,Job Fairy,https://www.linkedin.com/in/araujonrenan/,Navigating transformative AI will be incredibly challenging we need the best people cooperating to tackle it.,AI Policy Roles
8/4/2025,Research!America,Academic,https://www.researchamerica.org/careers/,Research!America is the nation's largest not-for-profit public education and advocacy alliance working to make research to improve health a higher national priority.,
7/19/2025,So you want to work in climate,Job Fairy,https://www.nicolekelner.notion.site/So-You-Want-to-Work-in-Climate-1e5f92ed0a978091960fc1645d09d469,This is a crowdsourced collection of 750+ resources for people who want to work in climate.,"A list of job boards, volunteering, etc all climate based."
7/16/2025,Social Change Careers,"Academic, Government, Non-Profit/NGO, Tech",https://www.Jobs.pcdn.global,"PCDN reaches a global network with professionals in deep expertise in social impact with a wide-range of programmatic, sectoral, linguistic and technical skills.",
7/19/2025,Tech Jobs for Good,Tech,https://www.techjobsforgood.com/?ref=brightplus3.com,"On Tech Jobs for Good, you'll find organizations focused on specific care areas such as: cancer, infectious diseases, hunger, disability services, sexual health, mental health, and pregnancy and childbirth.",
7/19/2025,Technologists for the Public Good,Tech,https://www.publicgood.tech/,We power the people who are reimagining how the government serves the public.,
7/19/2025,Times Higher Education,Academic,https://www.timeshighereducation.com/unijobs/,Higher education's global job board.,You'll need to find the job description elsewhere
7/16/2025,UK Jobs,"Academic, Government, Media, Non-Profit/NGO, Tech",https://www.jobs.ac.uk,"Start your UK & international job search for academic jobs, research jobs, science jobs and managerial jobs in leading universities and top global employers.",
7/16/2025,Union Jobs,Labor Union,https://www.unionjobs.com,"Welcome to Union Jobs Clearinghouse, our central site for posting the open positions in unions and socially allied organizations and community organizations that are now accepting applications.",
7/19/2025,US House,Government,https://www.content.govdelivery.com//attachments/USCAOHOUSE/2025/07/14/file_attachments/3323577/HVAPS%20Template_Members_2025_07_14.pdf,Member and Committee Openings,
7/19/2025,Welcome to the Jungle,Tech,https://www.welcometothejungle.com/en,"Only relevant roles. Choose the right job, at the right company for you. Discover your top recommendations now.",US based jobs
7/20/2025,Welcome to the Jungle,Tech,https://www.uk.welcometothejungle.com,"Only relevant roles. Choose the right job, at the right company for you. Discover your top recommendations now.",UK based jobs
8/5/2025,Wellfound,Tech,https://www.wellfound.com//,"Here to help with all the logistics. wellfound:ai finds best fit candidates, vets for interest, and schedules your favorites on your calendar  all in a matter of days.",
7/19/2025,Women & Climate,"Government, Media, Non-Profit/NGO, Tech",https://www.womenandclimate.co/,The Women and Climate community provides a joyful and safe space for women and nonbinary professionals from around the world to learn and talk about climate. ,Climate change related
7/19/2025,Words of Mouth,Job Fairy,https://www.wordsofmouth.org/subscribe,"Words of Mouth was conceived as a hopeful, communal way to seek new opportunities, particularly for people working outside or between standard industry categories.",Newsletter with jobs
7/30/2025,Zen Search,"Non-Profit/NGO, Tech",https://www.zensearch.jobs/,"ZenSearch is a fantastic tool that cuts through the noise of other job boards. No outdated listings, no irrelevant sponsored jobs/posts just high-quality job opportunities that are tailored to what you're looking for.",
8/8/2025,Community Jobs,"Industry/Other, Non-Profit/NGO, Tech",https://www.community.inc/jobs,"A collection of current, open job roles at the intersection of community and business.",
8/8/2025,Western Museum Association,Non-Profit/NGO,https://www.westmuse.org/job_board,"WMA is committed to furthering diversity, equity, accessibility, and inclusion across the full spectrum of museum work and strongly encourages employers to consider equitable hiring practices prior to posting open positions on its job board - including salary transparency.",
8/8/2025,Impact Source,"Non-Profit/NGO, Tech",https://www.impactsource.ai/jobs,"226 organizations. 4,469 jobs. Make an impact today.",
8/8/2025,We Work Remotely,"Industry/Other, Tech",https://www.weworkremotely.com/,"For over a decade, WWR has been the #1 site for remote jobs, with 6M monthly visitors and the world's largest remote work community.",
8/8/2025,Remote OK,Tech,https://www.remoteok.com/,Find a remote job in tech.,
8/8/2025,Law Crossing,Legal/Judicial,https://www.lawcrossing.com/,"Find Legal Jobs No One Else Can. Over 100,000 Listings You Won't See on LinkedIn or Indeed.",
8/8/2025,The Job Spider,Aggregator,https://www.thejobspider.com/,The #1 completely free internet job search engine and job board in the United States and Canada.,
8/8/2025,Job Case,Aggregator,https://www.jobcase.com/about-us/,"Millions of members connect on Jobcase to seize opportunities, share advice, and navigate the work landscape together.",
8/8/2025,Jobs Radar,Aggregator,https://www.jobsradar.com/,JobsRadar continuously updates listings to provide hundreds of jobs in your area that are hiring locally.,
8/8/2025,Talent,Aggregator,https://www.talent.com/,"Search from over 40 million jobs, save the ones you love, and apply in seconds.",
8/8/2025,Raise for Good: Social Impact Jobs,"Aggregator, Non-Profit/NGO",https://www.raiseforgood.com/,"We are proud to partner with purpose-driven leaders and organizations across sectors, including companies, foundations, philanthropists, and nonprofits. ",
